日期,ppi
2025-02-28,97.8
2025-01-31,97.7
2024-12-31,97.7
2024-11-30,97.5
2024-10-31,97.1
2024-09-30,97.2
2024-08-31,98.2
2024-07-31,99.2
2024-06-30,99.2
2024-05-31,98.6
2024-04-30,97.5
2024-03-31,97.2
2024-02-29,97.3
2024-01-31,97.5
2023-12-31,97.3
2023-11-30,97
2023-10-31,97.4
2023-09-30,97.5
2023-08-31,97
2023-07-31,95.6
2023-06-30,94.6
2023-05-31,95.4
2023-04-30,96.4
2023-03-31,97.5
2023-02-28,98.6
2023-01-31,99.2
2022-12-31,99.3
2022-11-30,98.7
2022-10-31,98.7
2022-09-30,100.95
2022-08-31,102.3
2022-07-31,104.2
2022-06-30,106.1
2022-05-31,106.4
2022-04-30,108
2022-03-31,108.3
2022-02-28,108.8
2022-01-31,109.1
2021-12-31,110.3
2021-11-30,112.9
2021-10-31,113.5
2021-09-30,110.7
2021-08-31,109.5
2021-07-31,109
2021-06-30,108.8
2021-05-31,109
2021-04-30,106.8
2021-03-31,104.4
2021-02-28,101.7
2021-01-31,100.3
2020-12-31,99.6
2020-11-30,98.5
2020-10-31,97.9
2020-09-30,97.9
2020-08-31,98
2020-07-31,97.6
2020-06-30,97
2020-05-31,96.3
2020-04-30,96.9
2020-03-31,98.5
2020-02-29,99.6
2020-01-31,100.1
2019-12-31,99.5
2019-11-30,98.6
2019-10-31,98.4
2019-09-30,98.8
2019-08-31,99.2
2019-07-31,99.7
2019-06-30,100
2019-05-31,100.6
2019-04-30,100.9
2019-03-31,100.4
2019-02-28,100.1
2019-01-31,100.1
2018-12-31,100.9
2018-11-30,102.7
2018-10-31,103.3
2018-09-30,103.6
2018-08-31,104.1
2018-07-31,104.6
2018-06-30,104.7
2018-05-31,104.1
2018-04-30,103.4
2018-03-31,103.1
2018-02-28,103.7
2018-01-31,104.3
2017-12-31,104.9
2017-11-30,105.8
2017-10-31,106.9
2017-09-30,106.9
2017-08-31,106.4
2017-07-31,105.5
2017-06-30,105.5
2017-05-31,105.5
2017-04-30,106.4
2017-03-31,107.6
2017-02-28,107.8
2017-01-31,106.9
2016-12-31,105.5
2016-11-30,103.3
2016-10-31,101.2
2016-09-30,100.1
2016-08-31,99.2
2016-07-31,98.3
2016-06-30,97.4
2016-05-31,97.2
2016-04-30,96.62
2016-03-31,95.68
2016-02-29,95.1
2016-01-31,94.7
2015-12-31,94.1
2015-11-30,94.1
2015-10-31,94.1
2015-09-30,94.06
2015-08-31,94.08
2015-07-31,94.63
2015-06-30,95.19
2015-05-31,95.39
2015-04-30,95.43
2015-03-31,95.44
2015-02-28,95.2
2015-01-31,95.68
2014-12-31,96.68
2014-11-30,97.31
2014-10-31,97.76
2014-09-30,98.2
2014-08-31,98.8
2014-07-31,99.13
2014-06-30,98.89
2014-05-31,98.55
2014-04-30,98
2014-03-31,97.7
2014-02-28,97.98
2014-01-31,98.36
2013-12-31,98.64
2013-11-30,98.58
2013-10-31,98.49
2013-09-30,98.66
2013-08-31,98.38
2013-07-31,97.73
2013-06-30,97.3
2013-05-31,97.13
2013-04-30,97.38
2013-03-31,98.08
2013-02-28,98.37
2013-01-31,98.36
2012-12-31,98.06
2012-11-30,97.8
2012-10-31,97.24
2012-09-30,96.45
2012-08-31,96.52
2012-07-31,97.13
2012-06-30,97.92
2012-05-31,98.6
2012-04-30,99.3
2012-03-31,99.68
2012-02-29,100.03
2012-01-31,100.73
2011-12-31,101.69
2011-11-30,102.72
2011-10-31,105
2011-09-30,106.52
2011-08-31,107.25
2011-07-31,107.54
2011-06-30,107.12
2011-05-31,106.79
2011-04-30,106.82
2011-03-31,107.31
2011-02-28,107.23
2011-01-31,106.64
2010-12-31,105.93
2010-11-30,106.06
2010-10-31,105.04
2010-09-30,104.33
2010-08-31,104.32
2010-07-31,104.84
2010-06-30,106.41
2010-05-31,107.13
2010-04-30,106.81
2010-03-31,105.91
2010-02-28,105.39
2010-01-31,104.32
2009-12-31,101.7
2009-11-30,97.92
2009-10-31,94.15
2009-09-30,93.01
2009-08-31,92.14
2009-07-31,91.78
2009-06-30,92.2
2009-05-31,92.8
2009-04-30,93.4
2009-03-31,94.01
2009-02-28,95.53
2009-01-31,96.65
2008-12-31,98.86
2008-11-30,101.99
2008-10-31,106.59
2008-09-30,109.13
2008-08-31,110.06
2008-07-31,110.03
2008-06-30,108.84
2008-05-31,108.22
2008-04-30,108.12
2008-03-31,107.95
2008-02-29,106.62
2008-01-31,106.07
2007-12-31,105.43
2007-11-30,104.55
2007-10-31,103.21
2007-09-30,102.71
2007-08-31,102.56
2007-07-31,102.39
2007-06-30,102.49
2007-05-31,102.76
2007-04-30,102.87
2007-03-31,102.65
2007-02-28,102.6
2007-01-31,103.3
2006-12-31,103.05
2006-11-30,102.78
2006-10-31,102.9
2006-09-30,103.45
2006-08-31,103.4
2006-07-31,103.58
2006-06-30,103.52
2006-05-31,102.43
2006-04-30,101.87
2006-03-31,102.49
2006-02-28,103.01
2006-01-31,103.05
